model,fold,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,tp,tn,fp,fn,threshold,auc_roc,pr_auc
SVM,0,0.9966666666666667,0.995,1.0,1.0,0.9974937343358395,0.9975,1990,1000,0,10,0.9577674045409741,1.0,1.0
SVM,1,1.0,1.0,1.0,1.0,1.0,1.0,2000,1000,0,0,0.9481368139960592,1.0,1.0
SVM,2,1.0,1.0,1.0,1.0,1.0,1.0,2000,1000,0,0,0.9467279707397784,1.0,1.0
SVM,3,1.0,1.0,1.0,1.0,1.0,1.0,2000,1000,0,0,0.9381752777999766,1.0,1.0
SVM,4,0.9996666666666667,0.9995,1.0,1.0,0.9997499374843711,0.99975,1999,1000,0,1,0.7572353216798404,1.0,1.0
RF,0,0.9983333333333333,0.9975,1.0,1.0,0.9987484355444305,0.99875,1995,1000,0,5,0.81,1.0,1.0
RF,1,1.0,1.0,1.0,1.0,1.0,1.0,2000,1000,0,0,0.83,1.0,1.0
RF,2,0.9996666666666667,0.9995,1.0,1.0,0.9997499374843711,0.99975,1999,1000,0,1,0.86,1.0,1.0
RF,3,1.0,1.0,1.0,1.0,1.0,1.0,2000,1000,0,0,0.91,1.0,1.0
RF,4,0.9996666666666667,0.9995,1.0,1.0,0.9997499374843711,0.99975,1999,1000,0,1,0.84,1.0,1.0
KNN,0,0.9996666666666667,0.9995,1.0,1.0,0.9997499374843711,0.99975,1999,1000,0,1,1.0,1.0,1.0
KNN,1,1.0,1.0,1.0,1.0,1.0,1.0,2000,1000,0,0,1.0,1.0,1.0
KNN,2,1.0,1.0,1.0,1.0,1.0,1.0,2000,1000,0,0,1.0,1.0,1.0
KNN,3,0.9996666666666667,0.9995,1.0,1.0,0.9997499374843711,0.99975,1999,1000,0,1,1.0,1.0,1.0
KNN,4,1.0,1.0,1.0,1.0,1.0,1.0,2000,1000,0,0,1.0,1.0,1.0
ResNet50_pretrained,0,1.0,1.0,1.0,1.0,1.0,1.0,400,200,0,0,0.43932202458381653,1.0,1.0
ResNet50_pretrained,1,0.9983333333333333,0.9975,1.0,1.0,0.9987484355444305,0.99875,399,200,0,1,0.5392848253250122,1.0,1.0
ResNet50_pretrained,2,0.9933333333333333,0.99,1.0,1.0,0.9949748743718593,0.995,396,200,0,4,0.7471381425857544,1.0,1.0
ResNet50_pretrained,3,1.0,1.0,1.0,1.0,1.0,1.0,400,200,0,0,0.4820516109466553,1.0,1.0
ResNet50_pretrained,4,1.0,1.0,1.0,1.0,1.0,1.0,400,200,0,0,0.7049340009689331,1.0,1.0
ResNet50_scratch,0,0.995,0.9975,0.99,0.9950124688279302,0.9962546816479401,0.99375,399,198,2,1,0.49114158749580383,0.9999,0.9999509803921569
ResNet50_scratch,1,0.9883333333333333,0.985,0.995,0.9974683544303797,0.9911949685534591,0.99,394,199,1,6,0.6054465174674988,0.99985,0.9999253176415404
ResNet50_scratch,2,0.995,0.9925,1.0,1.0,0.9962358845671268,0.9962500000000001,397,200,0,3,0.3313082754611969,0.9998999999999999,0.9999505385230318
ResNet50_scratch,3,0.9966666666666667,0.9975,0.995,0.9975,0.9975,0.9962500000000001,399,199,1,1,0.2505648136138916,0.999975,0.9999875621890547
ResNet50_scratch,4,1.0,1.0,1.0,1.0,1.0,1.0,400,200,0,0,0.9654282331466675,1.0,1.0
