path,class,tissue,label_binary
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca235.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3326.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3387.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1949.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1633.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1094.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1529.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca322.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3170.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2439.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3216.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1203.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1822.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1713.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca3718.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4188.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1965.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca4014.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca2569.jpeg,lung_aca,lung,1
..\..\data\lc25000\lung_colon_image_set\lung_image_sets\lung_aca\lungaca1975.jpeg,lung_aca,lung,1
