model,fold,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,tp,tn,fp,fn,threshold,auc_roc,pr_auc
SVM,0,0.9782608695652174,0.9565217391304348,0.9855072463768116,0.9565217391304348,0.9565217391304348,0.9710144927536233,22,68,1,1,0.116050129796965,0.998109640831758,0.9949832775919731
SVM,1,0.967391304347826,1.0,0.9565217391304348,0.8846153846153846,0.9387755102040817,0.9782608695652174,23,66,3,0,0.03287390469574905,1.0,1.0
SVM,2,1.0,1.0,1.0,1.0,1.0,1.0,22,66,0,0,0.4061941619940268,1.0,1.0
SVM,3,0.9886363636363636,0.9545454545454546,1.0,1.0,0.9767441860465116,0.9772727272727273,21,66,0,1,0.02592129742314096,0.9917355371900826,0.983957219251337
SVM,4,0.9886363636363636,0.9545454545454546,1.0,1.0,0.9767441860465116,0.9772727272727273,21,66,0,1,0.7805718151279827,0.9986225895316805,0.9962121212121213
RF,0,1.0,1.0,1.0,1.0,1.0,1.0,23,69,0,0,0.6,1.0,1.0
RF,1,1.0,1.0,1.0,1.0,1.0,1.0,23,69,0,0,0.65,1.0,1.0
RF,2,1.0,1.0,1.0,1.0,1.0,1.0,22,66,0,0,0.66,1.0,1.0
RF,3,0.9886363636363636,0.9545454545454546,1.0,1.0,0.9767441860465116,0.9772727272727273,21,66,0,1,0.66,0.9745179063360883,0.9659090909090909
RF,4,0.9886363636363636,0.9545454545454546,1.0,1.0,0.9767441860465116,0.9772727272727273,21,66,0,1,0.66,0.997245179063361,0.9915824915824916
KNN,0,0.967391304347826,0.8695652173913043,1.0,1.0,0.9302325581395349,0.9347826086956521,20,69,0,3,1.0,1.0,1.0
KNN,1,0.9891304347826086,0.9565217391304348,1.0,1.0,0.9777777777777777,0.9782608695652174,22,69,0,1,0.42857142857142855,0.9766855702583491,0.9673913043478262
KNN,2,0.9431818181818182,0.7727272727272727,1.0,1.0,0.8717948717948718,0.8863636363636364,17,66,0,5,0.9999975796592893,0.9707300275482094,0.9602272727272727
KNN,3,0.9772727272727273,0.9090909090909091,1.0,1.0,0.9523809523809523,0.9545454545454546,20,66,0,2,1.0,0.9769283746556474,0.9659090909090909
KNN,4,0.9886363636363636,0.9545454545454546,1.0,1.0,0.9767441860465116,0.9772727272727273,21,66,0,1,1.0,0.9769283746556474,0.9659090909090909
ResNet50_pretrained,0,0.6521739130434783,0.391304347826087,0.7391304347826086,0.3333333333333333,0.36,0.5652173913043478,9,51,18,14,0.4118702709674835,0.6458727158160051,0.41417131679893776
ResNet50_pretrained,1,0.8586956521739131,0.4782608695652174,0.9855072463768116,0.9166666666666666,0.6285714285714286,0.7318840579710145,11,68,1,12,0.5009799599647522,0.9017013232514177,0.7806658479504088
ResNet50_pretrained,2,0.8181818181818182,0.36363636363636365,0.9696969696969697,0.8,0.5,0.6666666666666667,8,64,2,14,0.6148555278778076,0.778236914600551,0.663889790448307
ResNet50_pretrained,3,0.8409090909090909,0.6818181818181818,0.8939393939393939,0.6818181818181818,0.6818181818181818,0.7878787878787878,15,59,7,7,0.3329395353794098,0.871900826446281,0.7063145316682933
ResNet50_pretrained,4,0.7954545454545454,0.2727272727272727,0.9696969696969697,0.75,0.4,0.6212121212121212,6,64,2,16,0.9784166812896729,0.8154269972451791,0.6176499268724835
ResNet50_scratch,0,0.5978260869565217,0.5217391304347826,0.6231884057971014,0.3157894736842105,0.39344262295081966,0.572463768115942,12,43,26,11,0.8206396698951721,0.5784499054820417,0.33251780953143173
ResNet50_scratch,1,0.6630434782608695,0.6956521739130435,0.6521739130434783,0.4,0.5079365079365079,0.6739130434782609,16,45,24,7,0.5892251133918762,0.722117202268431,0.5217741787833411
ResNet50_scratch,2,0.5340909090909091,0.6818181818181818,0.48484848484848486,0.30612244897959184,0.4225352112676056,0.5833333333333333,15,32,34,7,0.22764013707637787,0.6584022038567493,0.4159698612048739
ResNet50_scratch,3,0.7954545454545454,0.5454545454545454,0.8787878787878788,0.6,0.5714285714285714,0.7121212121212122,12,58,8,10,0.6211267709732056,0.8705234159779613,0.656343351916681
ResNet50_scratch,4,0.6704545454545454,0.5454545454545454,0.7121212121212122,0.3870967741935484,0.4528301886792453,0.6287878787878788,12,47,19,10,0.8021248579025269,0.6949035812672176,0.3735001132742937
