model,fold,accuracy,sensitivity,specificity,precision,f1,balanced_accuracy,tp,tn,fp,fn,threshold,auc_roc,pr_auc
SVM,0,0.975,0.95,1.0,1.0,0.9743589743589743,0.975,190,200,0,10,0.928031047599354,0.999375,0.9993747844243057
SVM,1,0.9575,0.92,0.995,0.9945945945945946,0.9558441558441558,0.9575,184,199,1,16,0.9596338241749266,0.996775,0.99599586326992
SVM,2,0.9775,0.98,0.975,0.9751243781094527,0.9775561097256857,0.9775,196,195,5,4,0.5,0.998575,0.998569911072456
SVM,3,0.995,0.99,1.0,1.0,0.9949748743718593,0.995,198,200,0,2,0.8704915823005503,1.0,1.0
SVM,4,0.9925,0.995,0.99,0.9900497512437811,0.9925187032418953,0.9924999999999999,199,198,2,1,0.5,0.99945,0.9994596153818542
RF,0,0.96,0.92,1.0,1.0,0.9583333333333334,0.96,184,200,0,16,0.722399424435639,0.998125,0.9981582225132855
RF,1,0.9625,0.945,0.98,0.9792746113989638,0.9618320610687023,0.9624999999999999,189,196,4,11,0.722,0.9941875,0.9887538480021723
RF,2,0.945,0.905,0.985,0.9836956521739131,0.9427083333333334,0.9450000000000001,181,197,3,19,0.716,0.9969125,0.9967958482763588
RF,3,0.9725,0.945,1.0,1.0,0.9717223650385605,0.9724999999999999,189,200,0,11,0.735,0.9994124999999999,0.9994027838705429
RF,4,0.9825,0.965,1.0,1.0,0.9821882951653944,0.9824999999999999,193,200,0,7,0.715,0.9998750000000001,0.9998743655140563
KNN,0,0.975,0.98,0.97,0.9702970297029703,0.9751243781094527,0.975,196,194,6,4,0.5,0.9978,0.9977875199804647
KNN,1,0.975,0.975,0.975,0.975,0.975,0.975,195,195,5,5,0.5,0.9929000000000001,0.9905197288370016
KNN,2,0.97,0.975,0.965,0.9653465346534653,0.9701492537313433,0.97,195,193,7,5,0.5,0.9975749999999999,0.9977023345419884
KNN,3,0.9725,0.97,0.975,0.9748743718592965,0.9724310776942355,0.9724999999999999,194,195,5,6,0.5,0.9956125,0.9960241864275026
KNN,4,0.98,0.975,0.985,0.9848484848484849,0.9798994974874372,0.98,195,197,3,5,0.5,0.9955500000000002,0.9960330464900415
ResNet50_pretrained,0,1.0,1.0,1.0,1.0,1.0,1.0,200,200,0,0,0.9096252918243408,1.0,1.0
ResNet50_pretrained,1,0.9875,0.99,0.985,0.9850746268656716,0.9875311720698254,0.9875,198,197,3,2,0.5299301147460938,0.99965,0.9996472192565716
ResNet50_pretrained,2,0.9925,0.985,1.0,1.0,0.9924433249370277,0.9924999999999999,197,200,0,3,0.816291093826294,0.999825,0.9998309178743962
ResNet50_pretrained,3,0.9875,0.98,0.995,0.9949238578680203,0.9874055415617129,0.9875,196,199,1,4,0.5349382758140564,0.9999,0.9998997462247162
ResNet50_pretrained,4,0.995,0.995,0.995,0.995,0.995,0.995,199,199,1,1,0.5228488445281982,0.9999,0.9999003694213642
ResNet50_scratch,0,0.9375,0.955,0.92,0.9227053140096618,0.9385749385749386,0.9375,191,184,16,9,0.28979337215423584,0.987375,0.9871080323585233
ResNet50_scratch,1,0.9575,0.97,0.945,0.9463414634146341,0.9580246913580247,0.9575,194,189,11,6,0.484222412109375,0.99325,0.9933604814691329
ResNet50_scratch,2,0.94,0.915,0.965,0.9631578947368421,0.9384615384615385,0.94,183,193,7,17,0.5204342603683472,0.9906,0.9905904398530425
ResNet50_scratch,3,0.9575,0.96,0.955,0.9552238805970149,0.9576059850374065,0.9575,192,191,9,8,0.372840940952301,0.995,0.9950501045242804
ResNet50_scratch,4,0.9575,0.945,0.97,0.9692307692307692,0.9569620253164557,0.9575,189,194,6,11,0.4512180685997009,0.99665,0.9967386733869342
